planner,search engine,heuristic,domain,problem,num runs,mean costs,median costs,std costs,mean picks,median picks,std picks,mean delivers,median delivers,std delivers,total mean cost,total median cost,total std cost,total mean picks,total median picks,total std picks,total mean delivers,total median delivers,total std delivers
Genetic,None,None,Cars,Cars 1,6,"[315.0, 811.0, 1244.3333333333333, 1973.6666666666667, 2528.5]","[316.5, 816.5, 1224.0, 1972.0, 2524.5]","[50.58853625081477, 63.05235919456147, 77.65994248431213, 95.48123724935003, 129.67921961517197]","[3.1666666666666665, 5.5, 7.833333333333333, 10.333333333333334, 12.666666666666666]","[3.0, 5.5, 7.5, 10.5, 13.0]","[0.752772652709081, 1.0488088481701516, 1.169045194450012, 0.816496580927726, 0.5163977794943222]","[2.1666666666666665, 3.0, 5.833333333333333, 7.333333333333333, 9.833333333333334]","[2.0, 3.0, 6.0, 7.0, 10.0]","[0.408248290463863, 0.8944271909999159, 0.752772652709081, 1.0327955589886444, 0.7527726527090811]",2528.5,2524.5,129.67921961517197,12.666666666666666,13.0,0.5163977794943222,9.833333333333334,10.0,0.7527726527090811
Genetic,None,None,Cars,Cars 2,6,"[1163.6666666666667, 2710.3333333333335, 4493.833333333333, 5922.333333333333, 7389.666666666667, 8672.666666666666, 9895.333333333334, 11035.666666666666, 12225.333333333334, 13324.166666666666, 14458.666666666666, 15570.166666666666, 16529.0, 17522.0, 18644.666666666668, 19707.166666666668, 20527.5, 21553.166666666668]","[1168.5, 2745.5, 4501.0, 5917.0, 7363.0, 8675.0, 9963.5, 11086.0, 12322.5, 13356.0, 14529.0, 15510.5, 16414.0, 17511.5, 18624.0, 19679.5, 20525.5, 21511.5]","[82.40792842115779, 103.69892317023675, 70.83619602058448, 98.58126935004776, 164.5535373872791, 193.0405829525664, 273.57022255111514, 274.4759855919396, 266.4009509492537, 339.0229589078985, 394.2997167975989, 376.2304701465136, 366.5302170353762, 340.2211045775967, 360.49114644699205, 390.2550021033256, 296.5007588523173, 307.55969610250736]","[9.166666666666666, 12.0, 16.166666666666668, 18.833333333333332, 20.666666666666668, 24.666666666666668, 25.833333333333332, 26.833333333333332, 28.5, 29.666666666666668, 31.666666666666668, 33.5, 33.833333333333336, 36.5, 37.0, 38.0, 38.0, 40.666666666666664]","[9.0, 12.0, 16.0, 18.5, 20.5, 25.0, 26.0, 27.0, 28.5, 30.0, 32.0, 34.0, 34.0, 36.5, 37.0, 38.0, 38.0, 41.0]","[0.752772652709081, 1.0954451150103321, 1.7224014243685084, 1.4719601443879746, 1.3662601021279466, 1.3662601021279464, 1.1690451944500122, 1.1690451944500122, 1.0488088481701516, 0.816496580927726, 0.5163977794943222, 0.8366600265340756, 0.408248290463863, 0.5477225575051661, 0.0, 0.0, 0.0, 0.5163977794943223]","[1.5, 4.5, 8.833333333333334, 12.166666666666666, 15.333333333333334, 19.0, 21.666666666666668, 23.333333333333332, 25.166666666666668, 27.333333333333332, 28.833333333333332, 30.833333333333332, 32.666666666666664, 33.5, 35.166666666666664, 36.833333333333336, 37.833333333333336, 38.833333333333336]","[1.5, 5.0, 8.5, 12.0, 15.0, 19.0, 22.0, 24.0, 25.0, 27.0, 28.5, 31.0, 33.0, 33.5, 35.0, 37.0, 38.0, 39.0]","[0.5477225575051661, 0.8366600265340756, 0.9831920802501751, 1.1690451944500122, 1.0327955589886446, 0.6324555320336759, 0.5163977794943222, 1.0327955589886446, 0.752772652709081, 1.0327955589886446, 1.4719601443879746, 1.1690451944500122, 0.816496580927726, 0.5477225575051661, 0.752772652709081, 0.752772652709081, 0.408248290463863, 0.408248290463863]",21553.166666666668,21511.5,307.55969610250736,40.666666666666664,41.0,0.5163977794943223,38.833333333333336,39.0,0.408248290463863
Genetic,None,None,MotorCycles and Letters,MotorCycles and Letters 1,6,"[181.33333333333334, 436.3333333333333, 757.8333333333334, 1147.6666666666667, 1629.8333333333333, 2067.0]","[185.0, 448.5, 781.0, 1169.0, 1622.5, 2079.0]","[11.147495981908524, 32.98282381280698, 78.73605696672057, 145.14774082522493, 168.37032596828536, 132.75993371495784]","[3.1666666666666665, 6.333333333333333, 10.666666666666666, 13.333333333333334, 17.5, 22.333333333333332]","[3.0, 6.5, 10.5, 13.0, 17.5, 22.0]","[0.408248290463863, 0.816496580927726, 1.3662601021279464, 0.5163977794943223, 1.0488088481701516, 1.0327955589886446]","[2.0, 4.166666666666667, 6.333333333333333, 9.333333333333334, 12.166666666666666, 15.833333333333334]","[2.0, 4.5, 6.5, 10.0, 12.0, 16.0]","[0.6324555320336759, 0.983192080250175, 0.816496580927726, 1.2110601416389968, 0.752772652709081, 0.752772652709081]",2067.0,2079.0,132.75993371495784,22.333333333333332,22.0,1.0327955589886446,15.833333333333334,16.0,0.752772652709081
Genetic,None,None,Rail System Factory,Rail System Factory 1,6,"[148.33333333333334, 378.8333333333333, 572.3333333333334, 853.1666666666666, 1113.3333333333333, 1420.3333333333333, 1951.1666666666667, 2590.1666666666665, 3134.5]","[150.0, 385.0, 582.0, 876.5, 1151.5, 1489.0, 2054.0, 2695.0, 3254.5]","[2.581988897471611, 17.949001829256876, 65.4268038854617, 144.07972330160365, 217.8776415024421, 261.6231386301041, 327.97159429844936, 399.7261145667952, 454.9658228922256]","[7.666666666666667, 15.0, 23.833333333333332, 31.833333333333332, 40.333333333333336, 50.5, 59.5, 67.33333333333333, 75.5]","[8.0, 15.0, 24.5, 32.0, 40.0, 51.5, 59.0, 67.5, 77.5]","[1.505545305418162, 2.0, 3.868677637987775, 5.344779384283945, 4.501851470969102, 4.505552130427524, 5.167204273105526, 6.250333324444919, 5.540758070878027]","[0.3333333333333333, 0.8333333333333334, 1.5, 2.3333333333333335, 3.0, 4.0, 6.0, 8.5, 10.166666666666666]","[0.0, 1.0, 1.5, 2.5, 3.0, 3.5, 6.0, 9.0, 9.5]","[0.5163977794943223, 0.752772652709081, 1.378404875209022, 2.250925735484551, 1.6733200530681511, 1.6733200530681511, 2.0, 2.16794833886788, 2.7868739954771304]",3134.5,3254.5,454.9658228922256,75.5,77.5,5.540758070878027,10.166666666666666,9.5,2.7868739954771304
Genetic,None,None,Trucks and Drones,Trucks and Drones 1,6,"[234.5, 707.0, 1405.3333333333333, 2351.8333333333335, 3463.6666666666665]","[236.0, 695.5, 1408.0, 2342.0, 3465.5]","[23.15815191244759, 55.767373974394744, 49.47187753326799, 69.6029213946273, 59.79520605087558]","[2.3333333333333335, 3.6666666666666665, 3.6666666666666665, 3.6666666666666665, 5.5]","[2.5, 4.0, 4.0, 4.0, 6.0]","[0.816496580927726, 0.5163977794943222, 0.5163977794943222, 0.5163977794943222, 0.8366600265340756]","[1.5, 2.0, 2.0, 2.0, 3.0]","[2.0, 2.0, 2.0, 2.0, 3.0]","[0.8366600265340756, 0.0, 0.0, 0.0, 0.0]",3463.6666666666665,3465.5,59.79520605087558,5.5,6.0,0.8366600265340756,3.0,3.0,0.0
Genetic,None,None,Trucks and Drones,Trucks and Drones 2,6,"[330.8333333333333, 993.6666666666666, 1829.1666666666667, 2882.6666666666665, 4131.166666666667]","[324.5, 983.0, 1799.5, 2879.5, 4104.5]","[24.530932853576253, 76.17786205103597, 133.60152194741895, 97.63332764310897, 130.3785514057687]","[2.8333333333333335, 4.0, 4.0, 4.0, 6.0]","[3.0, 4.0, 4.0, 4.0, 6.0]","[0.408248290463863, 0.0, 0.0, 0.0, 0.0]","[1.6666666666666667, 1.8333333333333333, 2.0, 2.0, 2.8333333333333335]","[2.0, 2.0, 2.0, 2.0, 3.0]","[0.5163977794943223, 0.408248290463863, 0.0, 0.0, 0.40824829046386296]",4131.166666666667,4104.5,130.3785514057687,6.0,6.0,0.0,2.8333333333333335,3.0,0.40824829046386296
Genetic,None,None,Trucks and Drones,Trucks and Drones 3,6,"[890.8333333333334, 2971.3333333333335, 5601.0, 8749.333333333334, 11996.333333333334, 15281.166666666666, 18786.166666666668, 22527.166666666668, 26370.5, 30458.166666666668, 34580.333333333336, 38430.666666666664, 42464.666666666664]","[898.5, 2992.0, 5634.0, 8831.0, 12064.0, 15395.5, 18892.0, 22609.5, 26384.5, 30386.5, 34378.0, 38181.0, 42178.5]","[23.094732444145496, 89.72104918393825, 214.0009345773985, 420.58942766867864, 623.7588209129124, 830.6128861669958, 1097.236604687734, 1358.847661316995, 1674.471110530128, 2042.1607592612943, 2451.3719152072103, 2757.3019179383796, 2983.731466916329]","[8.0, 10.166666666666666, 11.666666666666666, 13.666666666666666, 15.333333333333334, 16.666666666666668, 19.0, 20.833333333333332, 22.5, 23.666666666666668, 26.0, 26.666666666666668, 27.0]","[8.0, 10.0, 11.5, 13.0, 15.0, 16.5, 19.0, 20.5, 23.0, 24.5, 27.0, 27.5, 27.5]","[0.8944271909999159, 0.7527726527090811, 1.3662601021279464, 2.065591117977289, 1.8618986725025255, 1.3662601021279464, 1.4142135623730951, 1.9407902170679516, 1.760681686165901, 1.7511900715418263, 2.0, 2.160246899469287, 2.0976176963403033]","[0.3333333333333333, 2.0, 3.0, 4.833333333333333, 6.0, 6.833333333333333, 8.166666666666666, 9.5, 10.333333333333334, 11.166666666666666, 11.833333333333334, 13.0, 14.333333333333334]","[0.0, 2.0, 3.0, 4.5, 6.0, 7.0, 8.5, 9.5, 10.5, 11.0, 12.0, 13.0, 14.5]","[0.5163977794943223, 1.0954451150103321, 0.8944271909999159, 0.983192080250175, 1.0954451150103321, 1.3291601358251257, 1.4719601443879744, 1.8708286933869707, 2.065591117977289, 2.136976056643281, 1.7224014243685082, 1.6733200530681511, 1.3662601021279464]",42464.666666666664,42178.5,2983.731466916329,27.0,27.5,2.0976176963403033,14.333333333333334,14.5,1.3662601021279464
Search Based,Greedy,None,Cars,Cars 1,5,"[205.2, 528.8, 1204.0, 1768.2, 2426.4]","[197.0, 493.0, 1154.0, 1848.0, 2426.0]","[16.376812876747415, 90.15930345782404, 193.7511290289685, 202.25652029044699, 236.88140492660037]","[3.2, 5.0, 6.2, 7.2, 10.0]","[3.0, 5.0, 6.0, 7.0, 9.0]","[0.4472135954999579, 1.0, 1.3038404810405297, 1.3038404810405297, 1.7320508075688772]","[1.6, 2.4, 4.0, 5.2, 7.0]","[2.0, 2.0, 4.0, 5.0, 7.0]","[0.5477225575051661, 0.5477225575051661, 1.224744871391589, 1.7888543819998317, 1.5811388300841898]",2426.4,2426.0,236.88140492660037,10.0,9.0,1.7320508075688772,7.0,7.0,1.5811388300841898
Search Based,Greedy,None,Cars,Cars 2,6,"[975.8333333333334, 2417.1666666666665, 4157.5, 5711.833333333333, 7128.0, 8541.333333333334, 9930.0, 11272.166666666666, 12613.166666666666, 13852.666666666666, 15058.166666666666, 16348.833333333334, 17541.333333333332, 18833.5, 20022.166666666668, 21127.833333333332, 22380.666666666668, 23490.0]","[979.5, 2390.5, 4271.5, 5819.5, 7148.0, 8445.0, 9893.5, 11137.5, 12575.0, 13792.0, 15022.5, 16264.0, 17506.0, 18707.0, 20101.0, 21159.5, 22443.0, 23484.0]","[49.9015697815877, 60.95052638547649, 252.00853160161066, 316.67801734043155, 341.877755930391, 340.90154981558334, 458.40767881875627, 644.0836643376905, 617.1639706485357, 690.1256890354588, 827.9474419712078, 929.9159997906621, 1093.5482918767998, 1112.4198398086937, 1271.2438659307925, 1298.5498706890953, 1403.1844734982876, 1588.1366439950941]","[6.833333333333333, 10.0, 13.833333333333334, 16.333333333333332, 19.333333333333332, 22.166666666666668, 23.5, 24.333333333333332, 25.833333333333332, 27.166666666666668, 29.333333333333332, 30.666666666666668, 31.5, 33.333333333333336, 34.166666666666664, 35.333333333333336, 35.833333333333336, 38.5]","[7.0, 10.5, 14.5, 15.5, 20.0, 21.5, 23.5, 24.0, 26.5, 27.5, 30.0, 31.0, 31.5, 34.0, 35.0, 35.0, 36.0, 38.5]","[1.4719601443879746, 1.7888543819998317, 1.4719601443879746, 2.250925735484551, 1.9663841605003503, 1.4719601443879746, 1.51657508881031, 1.505545305418162, 1.9407902170679516, 2.228601953392904, 2.503331114069145, 2.422120283277993, 1.51657508881031, 1.9663841605003503, 2.6394443859772205, 2.0655911179772892, 1.7224014243685084, 1.0488088481701516]","[0.5, 1.6666666666666667, 4.333333333333333, 6.833333333333333, 9.666666666666666, 12.833333333333334, 14.666666666666666, 17.5, 19.166666666666668, 21.5, 22.833333333333332, 24.5, 25.666666666666668, 27.0, 28.166666666666668, 29.166666666666668, 30.5, 31.333333333333332]","[0.0, 2.0, 5.0, 8.0, 10.0, 13.5, 14.5, 17.0, 19.0, 21.5, 23.0, 24.0, 25.0, 27.0, 29.0, 29.5, 30.5, 31.5]","[0.8366600265340756, 1.0327955589886444, 2.250925735484551, 2.7141603981096383, 2.804757862395017, 1.9407902170679516, 1.7511900715418263, 1.224744871391589, 2.316606713852541, 2.073644135332772, 2.316606713852541, 2.6645825188948455, 2.503331114069145, 2.756809750418044, 2.9268868558020253, 2.041241452319315, 2.6645825188948455, 2.422120283277993]",23490.0,23484.0,1588.1366439950941,38.5,38.5,1.0488088481701516,31.333333333333332,31.5,2.422120283277993
Search Based,Greedy,None,MotorCycles and Letters,MotorCycles and Letters 1,6,"[164.66666666666666, 405.3333333333333, 691.0, 1026.5, 1497.0, 1941.5]","[162.0, 403.5, 689.0, 1006.0, 1490.5, 1951.0]","[6.2182527020592095, 27.760883751542686, 30.99032106965012, 60.44749788039204, 100.5087060905671, 144.8899582441792]","[3.3333333333333335, 6.5, 9.5, 12.0, 16.5, 20.166666666666668]","[3.0, 7.0, 8.5, 12.0, 17.0, 20.5]","[0.5163977794943222, 0.8366600265340756, 1.9748417658131499, 2.0, 1.760681686165901, 1.4719601443879746]","[1.6666666666666667, 3.8333333333333335, 6.0, 8.333333333333334, 10.666666666666666, 13.833333333333334]","[2.0, 4.0, 6.0, 8.5, 11.0, 14.0]","[0.5163977794943223, 0.752772652709081, 0.6324555320336759, 0.816496580927726, 1.505545305418162, 1.602081978759722]",1941.5,1951.0,144.8899582441792,20.166666666666668,20.5,1.4719601443879746,13.833333333333334,14.0,1.602081978759722
